client_id,age,job,marital,education,credit_default,mortgage,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,last_contact_date
0,56,housemaid,married,basic_4y,False,False,261,1,0,False,93.994,4.857,False,2022-05-13
1,57,services,married,high_school,False,False,149,1,0,False,93.994,4.857,False,2022-05-19
2,37,services,married,high_school,False,True,226,1,0,False,93.994,4.857,False,2022-05-23
3,40,admin_,married,basic_6y,False,False,151,1,0,False,93.994,4.857,False,2022-05-27
4,56,services,married,high_school,False,False,307,1,0,False,93.994,4.857,False,2022-05-03
5,45,services,married,basic_9y,False,False,198,1,0,False,93.994,4.857,False,2022-05-05
6,59,admin_,married,professional_course,False,False,139,1,0,False,93.994,4.857,False,2022-05-03
7,41,blue-collar,married,,False,False,217,1,0,False,93.994,4.857,False,2022-05-12
8,24,technician,single,professional_course,False,True,380,1,0,False,93.994,4.857,False,2022-05-21
9,25,services,single,high_school,False,True,50,1,0,False,93.994,4.857,False,2022-05-05
10,41,blue-collar,married,,False,False,55,1,0,False,93.994,4.857,False,2022-05-08
11,25,services,single,high_school,False,True,222,1,0,False,93.994,4.857,False,2022-05-09
12,29,blue-collar,single,high_school,False,False,137,1,0,False,93.994,4.857,False,2022-05-29
13,57,housemaid,divorced,basic_4y,False,True,293,1,0,False,93.994,4.857,False,2022-05-14
14,35,blue-collar,married,basic_6y,False,True,146,1,0,False,93.994,4.857,False,2022-05-29
15,54,retired,married,basic_9y,False,True,174,1,0,False,93.994,4.857,False,2022-05-29
16,35,blue-collar,married,basic_6y,False,True,312,1,0,False,93.994,4.857,False,2022-05-01
17,46,blue-collar,married,basic_6y,False,True,440,1,0,False,93.994,4.857,False,2022-05-09
18,50,blue-collar,married,basic_9y,False,True,353,1,0,False,93.994,4.857,False,2022-05-06
19,39,management,single,basic_9y,False,False,195,1,0,False,93.994,4.857,False,2022-05-02
20,30,unemployed,married,high_school,False,False,38,1,0,False,93.994,4.857,False,2022-05-02
21,55,blue-collar,married,basic_4y,False,True,262,1,0,False,93.994,4.857,False,2022-05-16
22,55,retired,single,high_school,False,True,342,1,0,False,93.994,4.857,False,2022-05-20
23,41,technician,single,high_school,False,True,181,1,0,False,93.994,4.857,False,2022-05-10
24,37,admin_,married,high_school,False,True,172,1,0,False,93.994,4.857,False,2022-05-02
25,35,technician,married,university_degree,False,False,99,1,0,False,93.994,4.857,False,2022-05-28
26,59,technician,married,,False,True,93,1,0,False,93.994,4.857,False,2022-05-30
27,39,self-employed,married,basic_9y,False,False,233,1,0,False,93.994,4.857,False,2022-05-16
28,54,technician,single,university_degree,False,False,255,2,0,False,93.994,4.857,False,2022-05-01
29,55,unknown,married,university_degree,False,False,362,1,0,False,93.994,4.857,False,2022-05-22
30,46,admin_,married,,False,False,348,1,0,False,93.994,4.857,False,2022-05-22
31,59,technician,married,,False,True,386,1,0,False,93.994,4.857,False,2022-05-27
32,49,blue-collar,married,,False,False,73,1,0,False,93.994,4.857,False,2022-05-25
33,54,management,married,basic_4y,False,True,230,1,0,False,93.994,4.857,False,2022-05-14
34,54,blue-collar,divorced,basic_4y,False,False,208,1,0,False,93.994,4.857,False,2022-05-25
35,55,unknown,married,basic_4y,False,True,336,1,0,False,93.994,4.857,False,2022-05-22
36,34,services,married,high_school,False,False,365,1,0,False,93.994,4.857,False,2022-05-11
37,52,technician,married,basic_9y,False,True,1666,1,0,False,93.994,4.857,False,2022-05-03
38,41,admin_,married,university_degree,False,True,577,1,0,False,93.994,4.857,False,2022-05-02
39,56,technician,married,basic_4y,False,True,137,1,0,False,93.994,4.857,False,2022-05-20
40,58,management,unknown,university_degree,False,True,366,1,0,False,93.994,4.857,False,2022-05-05
41,32,entrepreneur,married,high_school,False,True,314,1,0,False,93.994,4.857,False,2022-05-25
